post_body:,post_id:,user_id:,Label
y is everyon quit,kg_0_25623_1,deanybob13,0
becau. . we ar,kg_0_25623_2,TehJester,0
talk,kg_0_25623_3,deanybob13,0
keasi is still aliv,kg_0_25623_4,LordShadow,0
li,kg_0_25623_5,TehJester,0
kasei,kg_0_25623_6,LordShadow,0
he dead,kg_0_25623_7,TehJester,0
she,kg_0_25623_8,LordShadow,0
kevin wuddup,kg_0_25623_9,chance10149,0
lord shadowx o,kg_0_25623_10,Jigosep,0
i am make a huge underground citi in free rider 2 lol,kg_0_25623_11,colinc3,0
he chanc,kg_0_25623_12,LordShadow,0
loardshadow,kg_0_25623_13,colinc3,0
hei,kg_0_25623_14,LordShadow,0
stop stlake,kg_0_25623_15,colinc3,0
jfklfjakg jdfkahjafdk gj adomg,kg_0_25623_16,colinc3,0
yup,kg_0_25623_17,LordShadow,0
wt up,kg_0_25623_18,chance10149,0
nothinng,kg_0_25623_19,LordShadow,0
no keep talk,kg_0_25623_20,deanybob13,0
just woke up,kg_0_25623_21,LordShadow,0
for anyon who doesnt know lord shadow ha been stalk me,kg_0_25623_22,colinc3,0
lol,kg_0_25623_23,LordShadow,0
veri funni,kg_0_25623_24,deanybob13,0
no i m on when you ar on,kg_0_25623_25,LordShadow,0
ha ha ha ha,kg_0_25623_26,deanybob13,0
that it,kg_0_25623_27,LordShadow,0
exactli stalk,kg_0_25623_28,colinc3,0
lol,kg_0_25623_29,colinc3,0
is ther ani 1 we make fun of 2 dai,kg_0_25623_30,chance10149,0
no stalk,kg_0_25623_31,LordShadow,0
hmmm,kg_0_25623_32,LordShadow,0
where emo lover,kg_0_25623_33,colinc3,0
wanna scare hi am with clown again,kg_0_25623_34,colinc3,0
not here,kg_0_25623_35,LordShadow,0
dang,kg_0_25623_36,colinc3,0
and do not,kg_0_25623_37,LordShadow,0
who is emo,kg_0_25623_38,deanybob13,0
not me,kg_0_25623_39,chance10149,0
emo lover,kg_0_25623_40,colinc3,0
and she a girl,kg_0_25623_41,LordShadow,0
realli,kg_0_25623_42,colinc3,0
wow,kg_0_25623_43,colinc3,0
lol,kg_0_25623_44,colinc3,0
and my ex,kg_0_25623_45,LordShadow,0
,kg_0_25623_46,colinc3,0
so do not,kg_0_25623_47,LordShadow,0
wha wha what,kg_0_25623_48,colinc3,0
lol,kg_0_25623_49,colinc3,0
emo can die like thei want to,kg_0_25623_50,melonman99,0
lol,kg_0_25623_51,colinc3,0
stfu kid,kg_0_25623_52,Jigosep,0
wow,kg_0_25623_53,LordShadow,0
do not touch my race,kg_0_25623_54,Jigosep,0
or thei can not,kg_0_25623_55,LordShadow,0
smart emo cut rist dumb emo cut vein,kg_0_25623_56,colinc3,0
i am a kid am i,kg_0_25623_57,melonman99,0
lol,kg_0_25623_58,colinc3,0
besid she just like the music,kg_0_25623_59,LordShadow,0
me too kinda,kg_0_25623_60,colinc3,0
she doesnt cut herself,kg_0_25623_61,LordShadow,0
then how is she emo,kg_0_25623_62,melonman99,0
she like the music,kg_0_25623_63,LordShadow,0
i aint sai she emo,kg_0_25623_64,colinc3,0
neva did,kg_0_25623_65,colinc3,0
lol,kg_0_25623_66,Jigosep,0
then why get offend,kg_0_25623_67,melonman99,0
she dress like a emo,kg_0_25623_68,LordShadow,0
cuttin yourself doesnt make you emo,kg_0_25623_69,Jigosep,0
i am not,kg_0_25623_70,colinc3,0
yea it doesnt,kg_0_25623_71,colinc3,0
what yif you cut yourself by accednt,kg_0_25623_72,colinc3,0
like i did,kg_0_25623_73,colinc3,0
duh,kg_0_25623_74,melonman99,0
emo,kg_0_25623_75,Jigosep,0
xd,kg_0_25623_76,Jigosep,0
jokin,kg_0_25623_77,Jigosep,0
anywai,kg_0_25623_78,Jigosep,0
i wa cut someth out then i cut my thumb with siccer,kg_0_25623_79,colinc3,0
i have to go gui,kg_0_25623_80,Jigosep,0
cya l 8 er,kg_0_25623_81,Jigosep,0
bye,kg_0_25623_82,LordShadow,0
emo ar deppress bastard if thei want to die let them,kg_0_25623_83,melonman99,0
thumb emo,kg_0_25623_84,poopcake,0
bye,kg_0_25623_85,colinc3,0
... . ... .. .,kg_0_25623_86,colinc3,0
all my freind said i wa emo for the last week after taht . . ... . ... ..,kg_0_25623_87,colinc3,0
it wasnt funni or nice,kg_0_25623_88,colinc3,0
i know ...it hilari,kg_0_25623_89,poopcake,0
if it like tha with a accid,kg_0_25623_90,colinc3,0
lol,kg_0_25623_91,deanybob13,0
just thinmk what pressur actual emo ar under,kg_0_25623_92,colinc3,0
,kg_0_25623_93,poopcake,0
