id,lang,text,followers_count,screen_name,friends_count,User ID,Bullying_Traces,Type,Form,Teasing,Author_Role,Emotion
107278521805713408,in,cara3: bully iam gara2 uda di ucpin tpi gk bls,895,DeboraLily2,321,150964152,n,,,,,
106150056868061184,en,"If I'm not happy with my classes this week, I'm gonna take the role as a bully and be an asshole. Watch out lower-classmen. It will be ugly.",216,nicholasflowers,136,61120235,n,,,,,
108676972149874688,pt,Esse @Felipemath  fazendo bullying comigo! Haha,215,carol_ehlers,109,157724561,n,,,,,
103925126613045250,en,@JJS1994_ stop bullying me,201,meliaruby,400,14721679,y,self-disclosure,other,n,victim,none
106590106873372672,pt,AUISHUAHS eu e o @wallace_mancha tiramos o dia pra praticar bullying com a @helove_,239,Phoebepontalti,445,62179998,n,,,,,
103471384973418497,en,"@lucy_robbo yes on thur, she said she might, we'll bully in revs. I dunno I have no friends hahaha",303,jenkinsey_,658,219025244,n,,,,,
101884602586636288,en,"theres going to be bullys and ignorant people out there thats goi to spread lies about u or bully u,well DONT let it get u down",23,footballgirl92,169,53301091,n,,,,,
101324602789208064,en,don't you get it? This is me getting rid of you. Hahaha #BULLY,237,kamilyaaaa,343,210803457,y,report,other,n,reporter,none
102779484725448704,en,"The Bully at School Goes High Tech – Part 1: 
The Section of State and Local Government Law of the Am... http://t.co/DGWXoKd #slaw #law",226,XoomFileDave,346,297557032,n,,,,,
108340745324335104,en,Damm I think I'm slick bully this dude always offering shit to avoid me for roasting his ass LoL,548,_TrustNo1___,115,27383561,y,self-disclosure,other,n,bully,none
105829798315696128,pt,@Leticiia_P o que eu fiz não é bullying tá? IUSHDSUHDUHSDUHSDU tonta u.u UISHDUSDUHS,626,sherlecki,434,92643652,n,,,,,
103502694634889216,en,@BillyBlancO_ @DjLBully nigga used to be a real herbalist bully idk wham ah deal with,998,villainveE,416,24170927,n,,,,,
104940761937743874,en,@samGarvaux  Mostly I agree with @Shoq.  Having strong opinions does not make one a bully. Just passionate.,542,pennyd2,685,40004611,n,,,,,
105464272934551552,es,"@_MacaAlejandra @xsiempreJcyFer @camiiHidalgo_ Oigan , me Siento discriminada :'c me hacen Bulling aaaag* Las Denunciare xd",862,ValeskaJaviera,758,240501669,n,,,,,
102206417217392640,pt,"Bullying: O gesto mais idiota, estúpido e irracional que um ser humano pode praticar.",666,coegabi,203,226320672,n,,,,,
105799405784936448,pt,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/qlZdxUJ,350,bolinhovermelho,250,264606687,n,,,,,
106449969682198528,pt,"Suposta vítima de bullying, estudante pula do primeiro andar de colégio particular em Natal http://t.co/q9bRVJ3 via @UOLNoticias",467,jcristiano4ever,406,16813960,n,,,,,
109034091743154176,en,"@Looweihao @haoyangg @sleepybed Hello, since when i got bully people? Never physically you know! :( Criminal is not supposed to be me..",1206,Frederica__,504,177913822,n,,,,,
102903555840675840,en,@chelseabieber95 duuuuude. cyber bully much? I just read some of the tweets. how did it even start,411,mobile_sarahhh,185,90518694,y,report,cyberbullying,n,reporter,none
108121046191841281,in,"Tusuk tikam jejak! Bwahaha ""@Christ_Yosh10: @selviore duh jngan d tanya pan.. Mengundang kreatifitas dy untuk mem'bully itu mah.. &gt;&lt;""",646,lomardasika,1150,44528374,n,,,,,
106840582453870592,en,@bbuk @brianofficial bobby needs threw out that is disgusting #sweatgate #bully,146,catmcbrien,221,244569315,n,,,,,
105202476927549441,in,@luttylutz bahh lo kaga demen dia juga? Gue kira pada demen si jiejie SQ itu -_- ayo trus kita bully (?) Bahahahaha,162,illonaaaa,173,293593896,n,,,,,
108219316192817152,en,"In high school, it's bullying. But in a professional setting, it's harassment.",312,AstridSevilla,217,169260909,n,,,,,
108154819906240512,en,News from PrayerThatHeals.org - A spiritual defense against bullying http://t.co/wkmbwMA #constantcontact,852,prayerthatheals,999,17199808,n,,,,,
101821613984591873,pt,"pois agora é crime! Sacanear Palmeirense é Bullying,",24,karinanegris,46,322705559,n,,,,,
103938779231961091,pt,"Hj teve dinamica na sala, e como tds se odeiam teve briga... eu nem me meti... só ficava dizendo: BULLYING BULLYING! E a Paula roubou...é...",392,monisousa,190,86815267,n,,,,,
102533497637437441,en,For those keeping score at home- cousin who just had massive heart-attack is trying to bully the doctors into letting her out one day early.,620,jasummerell,664,70412906,y,report,other,n,reporter,none
107478741424414720,en,http://t.co/nbBZDxf Please help to stop workplace bullying,240,sarahobrien4602,1892,360086723,n,,,,,
103942171870248960,en,#gymflow as my sister just showed off her push to start kia! Def gonna have to get something new soon! Or just bully hers,928,TheOnlyLindiLu,717,273744352,n,,,,,
101405526843338754,pt,"vira pro chefe e diz que o colega tá fazendo bullying com você. ouve a resposta: 'ótimo, vou dar um aumento pra ele!'",1900,annavirginia,499,15900909,n,,,,,
107688644067856384,en,"@bellathorne143 i herd that you got bullied when you was 6 years old and i feel bad,are you ok",4,osheathebest,30,185389094,y,self-disclosure,other,n,defender,empathy
103679008855691264,en,"BETTER ANTI-BULLYING AD SLOGANS: Hey, Bullies. Since it HAS to be you our us, we'll send flowers",251,mikegolvach,230,11363462,n,,,,,
102829653227606018,pt,"Que dó que dó que dó do Ceará. Tadinhoooooo só pq é time pequeno, isso é Bullying Heleno. Hhaha",170,ligiayara,277,90055203,n,,,,,
108765481514708992,en,"@Underwalt @MsShandraRae @kateplusmy8 mr. walt, stop being a bully.",3,KellyAndyson,0,285461140,y,accusation,other,n,accuser,none
106148664052953088,ja,???post?BULLY??????SUICIDE??????BULLYCIDE????????????????????????????????????…????????,1752,tettixp,1750,147022022,n,,,,,
100254756332769280,en,"Paula, Kiersten and LJ's song about bullying. Great job! (Uploading more videos now.) http://fb.me/ASIm1gw1",883,yeacamp,1519,108461242,n,,,,,
100335301150507008,en,@katie_ogden @boybandslut @StephWall27 @BAMitsSHAZ @xstephhh_ I was not bullying her! She's trying to steal Jean Martyn from meee! :'( xx,1454,T0MM3H777,1238,126301524,y,denial,other,n,bully,none
107852102461693953,en,"This is actually bullying , I want Wenger to watch this and fucking hold every piece of criticism that comes ! #RAGE",760,MrValentine93,643,114062784,y,report,other,n,reporter,anger
108570195546746880,pt,"Pottermore para com essa merda, vc bloqueia logo a parte aonde começa a diversão, esse bullying comigo n chega ao fim né D:",336,kindfmadness,810,87764203,n,,,,,
106302927731294208,in,"@tanjayabella hahahahaha.. Sem 1 gak ad emgnya?wkwk..pgen bully"" lo..wkwk",97,janiicenursan,274,269095847,n,,,,,
106626680055013376,in,"emosi tingkat dewa, parah. puasa2 adaa aja ya yg nge bully-_-",398,tiwiprmn,397,191774742,n,,,,,
104199536133668864,en,"@ninjacodemonkey totally.  on one hand the retaliatory nature is pissy, on the other is great to see that bully-stick smackdown.",1501,lmc,1621,1380901,n,,,,,
104563058826936321,pt,"coitado o #Afonso sofreu #Bullying no colégio hoje, mais tava mt massa né @larissahadassa  UHAUSHAUHSUAH",383,__monicasouza,39,119585360,n,,,,,
