TXT_Name,age:,city:,country:,post_body:,post_id:,sex:,thread_title:,thread_topics:,user_name:,Label
101578_MS_949_101578.txt,22," Chicago, IL", US, okai get thi. . my earliest class is at 10. . everi tuesdai thursdai. mwf is at 12-1 then 1-210. so i leav at around 1155 for my first mwf class. . and my roomi is watch tv. . as soon as he get back from class he ha earlier class and get done by 10 and i come back after my class ar over around 2. . and he's still watch tv. same posit. i leav at around 230 to get someth to eat and meet up with some friend and i come back like at 5 to start homework. . still watch tv. i cant concentr in the room so i go to the librari. . come back around 9. . he's still in the same posit watch tv. i leav to get someth to eat. . come back. . he's still watch tv. how can you sit in front of the tv for the whole dai isnt the point of colleg. . to get out. . have freedom and meet peopl. . not stai in your room and sit on your ass that is all he ever doe. watch tv. he can sai the same thing about me be on the comput. . but i am not in front of the comp all the ti am onli if there is noth to do or nowher to go or i am do homework i go out. i get stuff done. i meet peopl. i leav th room. wow. seriouslli. it is come to the point of annoi cuz the tv is constantli on. on dai he even told me to turn my music down and it wa on low. . and hi tv wa blast. o and get thi. . franki guess what what nick my favorit documentari is gonna be on the histori channel todai. i do not sai anyth and i just sit there like. . wtf who ha a favorit documentari on the damn histori channel. wow. all he watch is the new like cnn or msnbc histori channel and stupid espn classic and old ass movi. ahhhhhhhhhhh,MS_949_488452, M, is your roomate like mine or mine just weird," Campus Life, General", F r a n k i e,0
101578_MS_949_101578.txt,28, Auburn, US, my roommat wa sort of like that ... except all she watch wa friend rerun. still the girl wa seriou depress and it sound like your roomi is too. i tri to drag mine out of the dorm room whenev possibl .,MS_949_489928, F, is your roomate like mine or mine just weird," Campus Life, General", Sparkly Jesus,0
101578_MS_949_101578.txt,22," Chicago, IL", US, see the thing is. . we ar two complet differ peopl with differ interest. i guess you can call me materialist. . i like monei and alotta thing. he's si ampl. he doesnt have much here but a tv and hi laptop and not that mani cloth in hi closet. i have a closet full of cloth drawer full of tshirt and speaker a fridg everyth. i am try to make thi place as much like home as possibl. i do not know. he would rather sit on hi butt and not do anyth. i would rather go out and meet peopl. i do not think we would have anyth to do if i took hi am out. he doesnt like to parti. . lol he cant drink. . do not know why. i feel bad. . no on come to visit hi am. . i guess si ampli becau of the fact he doesnt go out. . i guess that is hi fault. i just want a roomi i could go out with to like parti and have fun with like get girl. . get drunk. . share fun ti am with. ah. o well .,MS_949_490077, M, is your roomate like mine or mine just weird," Campus Life, General", F r a n k i e,0
101578_MS_949_101578.txt,22," Chicago, IL", US, dave he's a histori major. . ye. bore shit. lol i do not know how anyon could major in that. . he think be a person who narrar on the histori channel would be a good job. . lmfao,MS_949_490081, M, is your roomate like mine or mine just weird," Campus Life, General", F r a n k i e,0
101578_MS_949_101578.txt,22," Chicago, IL", US, lmfao too bad my roomat doesnt even go on the net nor will he ever know what myspac is. all he doe is type up paper and check hi email. that is it. besid i am not talk bad about hi am. . he's a cool kid. i am just annoi at what he doe and the thing he doe .,MS_949_490754, M, is your roomate like mine or mine just weird," Campus Life, General", F r a n k i e,0
101578_MS_949_101578.txt,23, Connecticut, US, on of my friend is a histori major he doe not sit in hi room all dai watch the histori channel though he goe out and doe stuff go figur mayb my friend is just an oddbal histori major. oh well he's a cool gui. anywai with you ar roomi i would feel bad for hi am too cau he doe not go out and make friend. but initi that is hi deal ya know there is onli so much a roomi can do .,MS_949_495959, F, is your roomate like mine or mine just weird," Campus Life, General", Ruth,0
1017167_MS_11986_1017167.txt,20, St. Louis, US, the thread titl is self-explanatori but ill set it up. some nation ar so small as to be complet unabl to global support themselv either militarili or econom. be sovereign nation includ some territori should thei expect aid from nation that ar larger or is it their respon to their citizen safeti to intertwin themselv with a stronger nation short version ar larger nation respon for the global upkeep of nation which in a solid state of sovereignti cannot support themselv. or ar smaller nation respon for alli themselv with stronger nation in the interest of surviv .,MS_11986_7928624, M, Are larger nations responsible for smaller one," News & Politics, InternationalPolitics", Bandit,0
1017167_MS_11986_1017167.txt,27, Los Angeles, US, no larger countri have no respon toward smaller countri. everyon should help themselv i think that peopl desir to help the smaller nation ha gotten us into too much troubl. it unfortun that we now feel that we have to help everyon el. screw them thei can handl their own shit. we should look to our own countri and make the chang that we need to better our economi live standard etc. we should help our own peopl instead of the world. just my opinion .,MS_11986_7929526, F, Are larger nations responsible for smaller one," News & Politics, InternationalPolitics", Little Miss Princess,0
1017167_MS_11986_1017167.txt,19," Edmonton, Alberta", CA, ye. peopl ar human be regardless of nation. especi in countri where peopl eat as an activ and for pleasur thei should damn well be help out nation where peopl ar starv to death. the 0. 7 of gdp for foreign aid that the un want all industri nation to pai is bull shit when i first herd the number i thought it wa wai to low and then hear no g 8 nation gave the 0. 7 made me sick .,MS_11986_7936117, M, Are larger nations responsible for smaller one," News & Politics, InternationalPolitics", Kevin Wright,0
1017167_MS_11986_1017167.txt,28, Oklahoma City, US, there ar a number of micron out there who routin get reject from the unit nation club. shrug if you clai am land for your own sovereign state it is up to you to maintain it. see for instanc the fate of the republ of rose island - http en. wikipedia.org wiki republ_of_rose_island,MS_11986_7937799, M, Are larger nations responsible for smaller one," News & Politics, InternationalPolitics", Ravager,0
